mood,album,name,artist,popularity,release_date
Sad,,Lambi Judai,Richa Sharma,79,
Sad,,Sunn Raha Hai,Ankit Tiwari,78,
Sad,,Jo Bheji Thi Dua,"Nandini Srikar, Arijit Singh, Neeti Mohan",77,
Sad,,O Bedardeya,Arijit Singh,76,
Sad,,Someone Like You,Adele,75,
Sad,,Let Her Go,Passenger,74,
Sad,,The Night We Met,Lord Huron,73,
Sad,,Another Love,Tom Odell,72,
Sad,,Lovely,"Billie Eilish, Khalid",71,
Sad,,When I Was Your Man,Bruno Mars,70,
Sad,,All I Want,Kodaline,69,
Sad,,Before You Go,Lewis Capaldi,68,
Sad,,Someone You Loved,Lewis Capaldi,67,
Sad,,Arcade,Duncan Laurence,66,
Sad,,Say You Won't Let Go,James Arthur,65,
Sad,,Photograph,Ed Sheeran,64,
Sad,,Happier,Ed Sheeran,63,
Sad,,Fix You,Coldplay,62,
Sad,,The Scientist,Coldplay,61,
Sad,,Let Me Down Slowly,Alec Benjamin,60,
Sad,,Dancing With Your Ghost,Sasha Alex Sloan,59,
Sad,,Heather,Conan Gray,58,
Sad,,drivers license,Olivia Rodrigo,57,
Sad,,traitor,Olivia Rodrigo,56,
Sad,,exile,"Taylor Swift, Bon Iver",55,
Sad,,cardigan,Taylor Swift,54,
Sad,,When We Were Young,Adele,53,
Sad,,I Will Always Love You,Whitney Houston,52,
Sad,,Nothing Compares 2 U,Sinéad O'Connor,51,
Calm,,Kabira,"Tochi Raina, Rekha Bhardwaj",100,
Calm,,Shaam,"Nikhil D'Souza, Amit Trivedi",99,
Calm,,Phir Le Aaya Dil,Arijit Singh,98,
Calm,,Tu Bin Bataye,"Madhushree, Naresh Iyer",97,
Calm,,Safarnama,Lucky Ali,96,
Calm,,Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",95,
Calm,,Arziyan,"Javed Ali, Kailash Kher",94,
Calm,,Manwa Laage,"Shreya Ghoshal, Arijit Singh",93,
Calm,,Hawayein,Arijit Singh,92,
Calm,,Khairiyat,Arijit Singh,91,
Calm,,Samjhawan,"Arijit Singh, Shreya Ghoshal",90,
Calm,,Saibo,"Shreya Ghoshal, Tochi Raina",89,
Calm,,Mera Mann Kehne Laga,Falak Shabir,88,
Calm,,Tum Se Hi,Mohit Chauhan,87,
Calm,,Ajab Si,KK,86,
Calm,,Pee Loon,Mohit Chauhan,85,
Calm,,Aahista,"Arijit Singh, Jonita Gandhi",84,
Calm,,Nazm Nazm,Arko,83,
Calm,,Raabta,Arijit Singh,82,
Calm,,Hasi,Ami Mishra,81,
Calm,,O Maahi,Arijit Singh,80,
Calm,,Ve Kamleya,"Arijit Singh, Asees Kaur",79,
Calm,,Tere Vaaste,"Varun Jain, Arijit Singh",78,
Calm,,Apna Bana Le,Arijit Singh,77,
Calm,,Heeriye,"Jasleen Royal, Arijit Singh",76,
Calm,,Die With A Smile,"Lady Gaga, Bruno Mars",75,
Calm,,BIRDS OF A FEATHER,Billie Eilish,74,
Calm,,Until I Found You,Stephen Sanchez,73,
Calm,,Yellow,Coldplay,72,
Calm,,Sparks,Coldplay,71,
Calm,,Perfect,Ed Sheeran,70,
Calm,,Ocean Eyes,Billie Eilish,69,
Calm,,Sunset Lover,Petit Biscuit,68,
Calm,,Golden Hour,JVKE,67,
Calm,,Glue Song,beabadoobee,66,
Calm,,Sweet,Cigarettes After Sex,65,
Calm,,Apocalypse,Cigarettes After Sex,64,
Calm,,Space Song,Beach House,63,
Calm,,Riptide,Vance Joy,62,
Calm,,Fallingforyou,The 1975,61,
Calm,,I Like Me Better,Lauv,60,
Calm,,Here With Me,d4vd,59,
Calm,,Daylight,David Kushner,58,
Calm,,Home,Edward Sharpe & The Magnetic Zeros,57,
Calm,,Bloom,The Paper Kites,56,
Calm,,Cherry Wine,Hozier,55,
Calm,,The Most Beautiful Thing,Bruno Major,54,
Calm,,Best Part,"Daniel Caesar, H.E.R.",53,
Calm,,Adore You,Harry Styles,52,
Calm,,Until I Found You (Em Beihold Version),"Stephen Sanchez, Em Beihold",51,
Energetic,,Malhari,Vishal Dadlani,100,
Energetic,,Sultan,"Sukhwinder Singh, Shadab Faridi",99,
Energetic,,Brothers Anthem,Ajay-Atul,98,
Energetic,,Dangal,Daler Mehndi,97,
Energetic,,Dhaakad,Raftaar,96,
Energetic,,Kar Har Maidaan Fateh,"Sukhwinder Singh, Shreya Ghoshal",95,
Energetic,,Chak De India,Sukhwinder Singh,94,
Energetic,,Lakshya,Shankar Mahadevan,93,
Energetic,,Sadda Haq,Mohit Chauhan,92,
Energetic,,Apna Time Aayega,Ranveer Singh,91,
Energetic,,Sher Aaya Sher,DIVINE,90,
Energetic,,Asli Hip Hop,Ranveer Singh,89,
Energetic,,Jai Jai Shivshankar,"Vishal Dadlani, Benny Dayal",88,
Energetic,,Jhoome Jo Pathaan,"Arijit Singh, Sukriti Kakar",87,
Energetic,,Sher Khul Gaye,"Vishal Dadlani, Shekhar Ravjiani",86,
Energetic,,Bang Bang,Benny Dayal,85,
Energetic,,Dhoom Again,"Dominique Cerejo, Vishal Dadlani",84,
Energetic,,Jai Ho,"A.R. Rahman, Sukhwinder Singh",83,
Energetic,,Aaj Ki Party,Mika Singh,82,
Energetic,,Bhaag DK Bose,Ram Sampath,81,
Energetic,,Zinda,Siddharth Mahadevan,80,
Energetic,,Zinda (Naam Shabana),Rochak Kohli,79,
Energetic,,Dhoom Machale,Sunidhi Chauhan,78,
Energetic,,Aankh Marey,"Neha Kakkar, Mika Singh",77,
Energetic,,Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar",76,
Energetic,,Believer,Imagine Dragons,75,
Energetic,,Thunder,Imagine Dragons,74,
Energetic,,Warriors,Imagine Dragons,73,
Energetic,,Natural,Imagine Dragons,72,
Energetic,,Whatever It Takes,Imagine Dragons,71,
Energetic,,Enemy,"Imagine Dragons, JID",70,
Energetic,,Centuries,Fall Out Boy,69,
Energetic,,Immortals,Fall Out Boy,68,
Energetic,,Numb,Linkin Park,67,
Energetic,,In the End,Linkin Park,66,
Energetic,,Breaking the Habit,Linkin Park,65,
Energetic,,Given Up,Linkin Park,64,
Energetic,,Seven Nation Army,The White Stripes,63,
Energetic,,DNA.,Kendrick Lamar,62,
Energetic,,HUMBLE.,Kendrick Lamar,61,
Energetic,,Till I Collapse,"Eminem, Nate Dogg",60,
Energetic,,Lose Yourself,Eminem,59,
Energetic,,Remember the Name,Fort Minor,58,
Energetic,,Power,Kanye West,57,
Energetic,,Can't Hold Us,"Macklemore & Ryan Lewis, Ray Dalton",56,
Energetic,,Pump It,The Black Eyed Peas,55,
Energetic,,Don't Stop Me Now,Queen,54,
Energetic,,Eye of the Tiger,Survivor,53,
Energetic,,Stronger,Kanye West,52,
Energetic,,Levels,Avicii,51,
